                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                 1.9126,                  1.901,                 2.1229,                 0.5769,                0.36179,                0.39643,                0.19378,                 1.9118,                 1.8921,                 2.1481,              0.0012049,              0.0012049,              0.0012049
                     58,                  1.917,                 1.8544,                 2.1174,                0.60418,                0.37525,                0.42652,                0.21567,                 1.8258,                 1.8008,                 2.0685,              0.0011967,              0.0011967,              0.0011967
                     59,                 1.9514,                 1.8387,                  2.142,                0.59926,                0.33109,                0.38112,                0.19405,                 1.8409,                 1.9481,                 2.0776,              0.0011884,              0.0011884,              0.0011884
                     60,                 1.8836,                 1.8299,                 2.1026,                0.61099,                0.39654,                0.44587,                0.23181,                 1.7722,                 1.7338,                 2.0059,              0.0011802,              0.0011802,              0.0011802
                     61,                 1.8686,                 1.8271,                 2.0712,                0.58906,                0.37364,                0.42272,                0.22524,                 1.7724,                 1.7476,                 2.0066,              0.0011719,              0.0011719,              0.0011719
                     62,                 1.8797,                 1.7763,                 2.0453,                0.56105,                0.40272,                0.44376,                0.23961,                 1.7854,                 1.7433,                 2.0211,              0.0011636,              0.0011636,              0.0011636
                     63,                 1.8907,                 1.8636,                 2.1271,                0.57814,                0.39873,                0.43899,                0.23075,                 1.7863,                 1.7658,                 2.0137,              0.0011554,              0.0011554,              0.0011554
                     64,                 1.8643,                 1.8185,                 2.1138,                0.62527,                0.37578,                0.43309,                0.22985,                  1.767,                 1.7708,                 1.9975,              0.0011471,              0.0011471,              0.0011471
                     65,                 1.8702,                 1.8035,                  2.041,                0.58794,                0.39297,                0.43574,                0.24245,                   1.73,                 1.6823,                 1.9708,              0.0011389,              0.0011389,              0.0011389
                     66,                 1.8571,                 1.8069,                 2.0657,                0.56432,                0.39745,                0.44116,                0.23047,                 1.7378,                 1.7053,                 1.9432,              0.0011306,              0.0011306,              0.0011306
                     67,                 1.8178,                 1.7998,                 2.0522,                0.57078,                0.41465,                0.44361,                0.24001,                  1.723,                 1.6983,                 1.9591,              0.0011224,              0.0011224,              0.0011224
                     68,                 1.8042,                 1.7696,                 2.0189,                 0.6204,                0.39505,                0.46629,                0.25424,                 1.7199,                 1.6569,                 1.9609,              0.0011141,              0.0011141,              0.0011141
                     69,                 1.7914,                 1.7383,                 2.0301,                 0.6222,                 0.4111,                0.47891,                0.24715,                 1.7853,                 1.6771,                 2.0034,              0.0011059,              0.0011059,              0.0011059
                     70,                 1.8103,                 1.6942,                 1.9991,                0.64071,                0.41363,                0.49055,                0.26976,                 1.6927,                 1.6044,                 1.9246,              0.0010976,              0.0010976,              0.0010976
                     71,                 1.7962,                 1.7169,                 1.9991,                0.61939,                0.42964,                0.50248,                0.27044,                 1.6921,                 1.5844,                  1.904,              0.0010894,              0.0010894,              0.0010894
                     72,                 1.7735,                 1.6515,                 1.9698,                0.63633,                0.42829,                0.49806,                 0.2567,                 1.7249,                  1.589,                 1.9404,              0.0010811,              0.0010811,              0.0010811
                     73,                 1.8013,                 1.6715,                 1.9924,                0.56727,                0.44004,                0.49503,                0.26185,                 1.7291,                 1.6075,                  1.934,              0.0010729,              0.0010729,              0.0010729
                     74,                 1.7965,                 1.7067,                 2.0181,                0.67721,                0.42811,                0.51578,                0.28168,                 1.6553,                 1.5468,                 1.8977,              0.0010646,              0.0010646,              0.0010646
                     75,                 1.7775,                 1.6706,                 1.9805,                0.63463,                0.44902,                 0.5227,                0.28839,                 1.6812,                 1.5763,                 1.9032,              0.0010564,              0.0010564,              0.0010564
                     76,                 1.7924,                 1.6593,                 1.9777,                0.66516,                0.43406,                0.51408,                0.26826,                 1.7169,                 1.5774,                 1.9436,              0.0010481,              0.0010481,              0.0010481
                     77,                 1.8053,                 1.6574,                 1.9574,                0.61443,                0.47098,                0.51378,                0.28039,                 1.7035,                 1.5682,                 1.9042,              0.0010399,              0.0010399,              0.0010399
                     78,                 1.8286,                 1.6942,                  1.979,                0.64681,                0.47766,                0.54048,                 0.2895,                 1.6783,                 1.5457,                 1.8769,              0.0010316,              0.0010316,              0.0010316
                     79,                 1.7593,                 1.5803,                 1.9313,                0.64894,                0.46259,                0.53656,                0.29171,                  1.684,                 1.5301,                  1.891,              0.0010234,              0.0010234,              0.0010234
                     80,                 1.7766,                 1.6022,                 1.9175,                0.62434,                0.48197,                0.54134,                 0.2953,                 1.6326,                 1.5256,                 1.8493,              0.0010151,              0.0010151,              0.0010151
                     81,                 1.7342,                 1.5654,                  1.914,                0.67908,                0.46402,                 0.5531,                0.30457,                 1.6414,                 1.4792,                 1.8514,              0.0010069,              0.0010069,              0.0010069
                     82,                 1.7324,                 1.5664,                 1.8891,                0.65415,                0.46259,                0.53265,                0.29516,                  1.703,                 1.5225,                 1.9095,             0.00099862,             0.00099862,             0.00099862
                     83,                  1.774,                 1.6334,                 1.9455,                 0.7143,                0.47564,                0.55574,                0.30659,                 1.6515,                 1.4911,                  1.865,             0.00099036,             0.00099036,             0.00099036
                     84,                 1.7496,                 1.5794,                 1.9199,                0.70868,                0.48776,                0.56153,                0.28892,                 1.6994,                 1.5172,                 1.8903,             0.00098211,             0.00098211,             0.00098211
                     85,                 1.7961,                 1.6177,                 1.9419,                0.70002,                0.49219,                0.56856,                0.30322,                  1.634,                 1.4646,                 1.8444,             0.00097386,             0.00097386,             0.00097386
                     86,                  1.708,                 1.5787,                 1.8822,                0.65105,                0.49495,                0.56438,                0.30097,                 1.6318,                 1.4573,                  1.844,             0.00096561,             0.00096561,             0.00096561
                     87,                 1.7041,                 1.5511,                 1.8923,                0.71059,                0.47931,                0.57152,                0.31195,                 1.6066,                 1.4349,                 1.8185,             0.00095736,             0.00095736,             0.00095736
                     88,                 1.7071,                 1.5732,                 1.9317,                0.75738,                0.46422,                0.58835,                 0.3279,                  1.621,                 1.4437,                 1.8164,             0.00094911,             0.00094911,             0.00094911
                     89,                 1.7255,                  1.543,                  1.876,                0.71045,                0.49266,                0.58221,                0.32309,                 1.5816,                  1.445,                 1.7867,             0.00094085,             0.00094085,             0.00094085
                     90,                 1.6792,                 1.5433,                 1.8767,                0.71556,                 0.5202,                0.60952,                0.33947,                 1.5683,                  1.429,                 1.7652,              0.0009326,              0.0009326,              0.0009326
                     91,                 1.6601,                 1.5424,                  1.863,                0.71669,                0.50378,                0.59857,                 0.3374,                  1.593,                 1.3968,                 1.8005,             0.00092435,             0.00092435,             0.00092435
                     92,                 1.7016,                 1.5494,                 1.8657,                0.68544,                0.51673,                0.59168,                0.33685,                 1.5453,                  1.415,                 1.7572,              0.0009161,              0.0009161,              0.0009161
                     93,                 1.6734,                 1.5522,                 1.8768,                   0.74,                0.49983,                0.59647,                0.33345,                 1.5878,                 1.3928,                 1.7603,             0.00090785,             0.00090785,             0.00090785
